CustomerKey,FirstName,LastName,Gender,DateFirstPurchase,Customer City,Customer Country
11034,Ebony,Gonzalez,F,2018-02-01,North Sydney,Australia
11035,Wendy,Dominguez,F,2018-02-06,Cranbourne,Australia
11036,Jennifer,Russell,F,2020-01-22,National City,United States
11037,Chloe,Garcia,F,2020-01-20,Cliffside,Canada
11038,Diana,Hernandez,F,2018-02-07,Lavender Bay,Australia
11039,Marc,Martin,M,2018-02-07,Wollongong,Australia
11040,Jesse,Murphy,M,2020-04-03,Tacoma,United States
11041,Amanda,Carter,F,2020-01-14,Glendale,United States
11042,Megan,Sanchez,F,2020-01-21,Los Angeles,United States
11043,Nathan,Simmons,M,2020-05-08,Glendale,United States
11044,Adam,Flores,M,2018-02-28,Hervey Bay,Australia
11045,Leonard,Nara,M,2020-04-10,Matraville,Australia
11046,Christine,Yuan,F,2018-02-06,Lavender Bay,Australia
11047,Jaclyn,Lu,F,2018-02-03,Geelong,Australia
11048,Jeremy,Powell,M,2018-02-10,Sunbury,Australia
11049,Carol,Rai,F,2020-03-09,Chula Vista,United States
11050,Alan,Zheng,M,2018-02-20,Hobart,Australia
11051,Daniel,Johnson,M,2020-12-29,Caloundra,Australia
11052,Heidi,Lopez,F,2018-02-17,Matraville,Australia
11053,Ana,Price,F,2020-01-17,San Diego,United States
11054,Deanna,Munoz,F,2018-02-03,Geelong,Australia
11055,Gilbert,Raje,M,2018-01-31,East Brisbane,Australia
11056,Michele,Nath,F,2018-02-26,Newcastle,Australia
11057,Carl,Andersen,M,2018-02-22,Lane Cove,Australia
11058,Marc,Diaz,M,2018-03-09,Findon,Australia
11059,Ashlee,Andersen,F,2020-02-18,Townsville,Australia
11060,Jon,Zhou,M,2018-03-19,Warrnambool,Australia
11061,Todd,Gao,M,2018-03-13,Gold Coast,Australia
11062,Noah,Powell,M,2020-01-07,Portland,United States
11063,Angela,Murphy,F,2020-01-12,Redmond,United States
11064,Chase,Reed,M,2020-01-25,Downey,United States
11065,Jessica,Henderson,F,2020-02-10,La Jolla,United States
11066,Grace,Butler,F,2020-05-31,Lebanon,United States
11067,Caleb,Carter,M,2020-08-18,Port Orchard,United States
11068,Tiffany,Liang,F,2020-04-30,Warrnambool,Australia
11069,Carolyn,Navarro,F,2018-04-17,Gold Coast,Australia
11070,Willie,Raji,M,2018-04-28,Sunbury,Australia
11071,Linda,Serrano,F,2020-03-01,Hawthorne,Australia
11072,Casey,Luo,F,2018-03-31,St. Leonards,Australia
11073,Amy,Ye,F,2020-03-23,Springwood,Australia
11074,Levi,Arun,M,2020-03-23,Cloverdale,Australia
11075,Felicia,Jimenez,F,2018-04-28,Bendigo,Australia
11076,Blake,Anderson,M,2018-04-21,Wollongong,Australia
11077,Leah,Ye,F,2018-04-15,Melton,Australia
11078,Gina,Martin,F,2020-02-15,Cliffside,Canada
11079,Donald,Gonzalez,M,2020-03-15,Geelong,Australia
11080,Damien,Chander,M,2018-04-10,Perth,Australia
11081,Savannah,Baker,F,2020-02-12,Concord,United States
11082,Angela,Butler,F,2020-01-22,Fremont,United States
11083,Alyssa,Cox,F,2020-01-06,Lincoln Acres,United States
11084,Lucas,Phillips,M,2020-01-04,Lebanon,United States
11085,Emily,Johnson,F,2020-12-06,Newport Beach,United States
11086,Ryan,Brown,M,2020-07-02,Santa Monica,United States
11087,Tamara,Liang,F,2020-02-25,Chula Vista,United States
11088,Hunter,Davis,M,2020-01-13,San Diego,United States
11089,Abigail,Price,F,2019-12-29,Long Beach,United States
11090,Trevor,Bryant,M,2018-08-07,Los Angeles,United States
11091,Dalton,Perez,M,2020-01-29,Haney,Canada
11092,Cheryl,Diaz,F,2018-04-08,East Brisbane,Australia
11093,Aimee,He,F,2018-04-07,Wollongong,Australia
11094,Cedric,Ma,M,2020-04-07,Cranbourne,Australia
11095,Chad,Kumar,M,2018-04-01,Port Macquarie,Australia
11096,Andrés,Anand,M,2018-04-11,North Sydney,Australia
11097,Edwin,Nara,M,2018-04-04,Warrnambool,Australia
11098,Mallory,Rubio,F,2020-02-11,Rhodes,Australia
11099,Adam,Ross,M,2018-04-07,Port Macquarie,Australia
11100,Latasha,Navarro,F,2018-04-16,Cloverdale,Australia
11101,Abby,Sai,F,2018-04-29,Cranbourne,Australia
11102,Julia,Nelson,F,2020-07-16,Sydney,Australia
11103,Cassie,Chande,F,2018-04-15,Darlinghurst,Australia
11104,Edgar,Sara,M,2018-05-04,Gold Coast,Australia
11105,Candace,Fernandez,F,2018-05-14,Matraville,Australia
11106,Jessie,Liu,M,2018-05-18,Warrnambool,Australia
11107,Bianca,Lin,F,2018-05-01,St. Leonards,Australia
11108,Kari,Alvarez,F,2018-05-03,Port Macquarie,Australia
11109,Ruben,Kapoor,M,2018-05-10,South Melbourne,Australia
11110,Curtis,Yang,M,2018-05-01,Darlinghurst,Australia
11111,Meredith,Gutierrez,F,2018-05-20,Geelong,Australia
11112,Crystal,Wang,F,2018-05-25,Hervey Bay,Australia
11113,Micheal,Blanco,M,2020-02-01,Perth,Australia
11114,Leslie,Moreno,F,2020-03-18,Rhodes,Australia
11115,Alvin,Cai,M,2020-02-10,St. Leonards,Australia
11116,Clinton,Carlson,M,2020-03-15,Sydney,Australia
11117,April,Deng,F,2018-05-06,Matraville,Australia
11118,Alvin,Zeng,M,2020-07-10,Lavender Bay,Australia
11119,Evan,James,M,2020-02-03,Port Macquarie,Australia
11120,Beth,Jiménez,F,2018-05-14,Sydney,Australia
11121,Orlando,Suarez,M,2020-06-24,Newcastle,Australia
11122,Byron,Vazquez,M,2020-02-21,North Sydney,Australia
11123,Philip,Alvarez,M,2020-04-17,Sunbury,Australia
11124,Ross,Jordan,M,2018-05-05,Warrnambool,Australia
11125,Dana,Navarro,F,2020-01-31,Seaford,Australia
11126,Shaun,Carson,M,2018-05-28,North Ryde,Australia
11127,Jan,Edwards,F,2020-04-10,San Gabriel,United States
11128,Samantha,Long,F,2020-06-19,Renton,United States
11129,Julia,Wright,F,2018-08-06,Sedro Woolley,United States
11130,Caroline,Russell,F,2020-12-09,Lebanon,United States
11131,Amanda,Rivera,F,2020-10-18,Haney,Canada
11132,Melissa,Richardson,F,2020-04-09,Langford,Canada
11133,Angela,Griffin,F,2020-12-30,Lake Oswego,United States
11134,Larry,Townsend,M,2018-05-03,Perth,Australia
11135,Marcus,Harris,M,2020-04-18,Burlingame,United States
11136,Brianna,Morgan,F,2020-01-03,Metchosin,Canada
11137,Jasmine,Taylor,F,2020-07-31,Spokane,United States
11138,Lauren,Davis,F,2020-09-19,Glendale,United States
11139,Tanya,Moreno,F,2020-09-14,Cloverdale,Australia
11140,Javier,Alvarez,M,2020-03-19,Burbank,United States
11141,Nicole,Ramirez,F,2020-05-16,Daly City,United States
11142,Eduardo,Patterson,M,2020-02-13,Langford,Canada
11143,Jonathan,Henderson,M,2020-06-15,Lakewood,United States
11144,Edward,Hernandez,M,2020-01-25,Ballard,United States
11145,Jasmine,Coleman,F,2020-01-25,Beaverton,United States
11146,Karla,Goel,F,2020-02-05,Matraville,Australia
11147,Ernest,Wu,M,2018-05-13,Warrnambool,Australia
11148,Ross,Vazquez,M,2020-03-07,East Brisbane,Australia
11149,Theodore,Gill,M,2020-06-04,Hervey Bay,Australia
11150,Russell,Shen,M,2020-03-27,Sunbury,Australia
11151,Melinda,Gill,F,2018-05-15,Sydney,Australia
11152,James,Williams,M,2020-01-09,Puyallup,United States
11153,Angela,James,F,2020-03-29,Renton,United States
11154,Megan,Walker,F,2020-01-10,Woodburn,United States
11155,Hunter,Robinson,M,2020-01-06,Burbank,United States
11156,Maria,Roberts,F,2020-01-08,Lakewood,United States
11157,Hannah,Long,F,2020-07-24,Tacoma,United States
11158,Jason,Wright,M,2020-01-19,San Gabriel,United States
11159,Brianna,Hughes,F,2020-09-08,Woodland Hills,United States
11160,Maurice,Tang,M,2020-02-21,Concord,United States
11161,Emily,Wood,F,2020-06-01,Concord,United States
11162,Chase,Cox,M,2020-02-18,La Jolla,United States
11163,Gabriel,Wang,M,2020-05-01,Spring Valley,United States
11164,Devin,Brooks,M,2020-04-27,Torrance,United States
11165,Jocelyn,Alexander,F,2020-05-25,Oakland,United States
11166,Ashley,Martinez,F,2020-10-14,Olympia,United States
11167,Jasmine,Barnes,F,2020-01-07,Issaquah,United States
11168,David,Rodriguez,M,2020-01-15,Oakland,United States
11169,Bryce,Richardson,M,2020-05-26,Coronado,United States
11170,Carol,Howard,F,2020-08-26,Burien,United States
11171,Jonathan,Hill,M,2018-08-20,Woodland Hills,United States
11172,Gabrielle,Adams,F,2020-05-03,Lynnwood,United States
11173,Sarah,Thomas,F,2020-03-02,W. Linn,United States
11174,Nicholas,Robinson,M,2020-07-13,Los Angeles,United States
11175,Luis,Wang,M,2018-08-28,Beverly Hills,United States
11176,Mason,Roberts,M,2020-02-02,Haney,Canada
11177,Jose,Flores,M,2020-03-29,San Diego,United States
11178,Nathan,Johnson,M,2020-02-21,Lakewood,United States
11179,Molly,Rodriguez,F,2020-03-12,Beverly Hills,United States
11180,April,Anand,F,2020-03-17,Chula Vista,United States
11181,Devin,Martin,M,2020-05-07,Los Angeles,United States
11182,Stephanie,Torres,F,2020-08-28,Sedro Woolley,United States
11183,Jasmine,Lee,F,2020-04-30,Santa Cruz,United States
11184,Meghan,Hernandez,F,2020-08-10,Concord,United States
11185,Ashley,Henderson,F,2020-02-21,Metchosin,Canada
11186,Sarah,Price,F,2020-10-18,Palo Alto,United States
11187,Jennifer,Cooper,F,2020-04-03,Burien,United States
11188,Catherine,Morris,F,2020-11-01,San Gabriel,United States
11189,Lawrence,Blanco,M,2018-08-26,Bellingham,United States
11190,Carson,Bryant,M,2020-08-28,Beverly Hills,United States
11191,Kristi,Perez,F,2018-08-11,Colma,United States
11192,James,Brown,M,2020-06-23,Seattle,United States
11193,Ian,Gray,M,2020-02-25,Woodburn,United States
11194,Jacqueline,Price,F,2020-03-13,Palo Alto,United States
11195,Megan,Henderson,F,2020-04-14,Renton,United States
11196,Alfredo,Romero,M,2020-03-03,Beaverton,United States
11197,Andrea,Morris,F,2020-05-02,Seattle,United States
11198,Brooke,Sanders,F,2020-02-05,Santa Cruz,United States
11199,Jacqueline,Bennett,F,2020-03-18,Burlingame,United States
11200,Jason,Griffin,M,2020-02-07,Victoria,Canada
11201,Amanda,Foster,F,2020-07-01,Santa Monica,United States
11202,Alexia,Price,F,2020-09-15,Lakewood,United States
11203,Luis,Diaz,M,2020-02-20,Port Hammond,Canada
11204,Destiny,Rivera,F,2020-08-09,Beaverton,United States
11205,Abby,Fernandez,F,2020-07-27,Burien,United States
11206,Blake,Flores,M,2020-05-11,Lynnwood,United States
11207,Danielle,Cox,F,2020-01-31,Renton,United States
11208,Maria,Reed,F,2020-03-04,Glendale,United States
11209,Allison,Evans,F,2020-03-25,Lincoln Acres,United States
11210,Edward,Wood,M,2020-05-06,West Covina,United States
11211,Samantha,Russell,F,2020-02-01,Haney,Canada
11212,Chloe,Campbell,F,2020-01-30,Metchosin,Canada
11213,Stephanie,Murphy,F,2020-03-28,Edmonds,United States
11214,Charles,Miller,M,2020-08-14,Milwaukie,United States
11215,Ana,Perry,F,2020-02-15,Royal Oak,Canada
11216,Jasmine,Torres,F,2018-08-15,Portland,United States
11217,Natalie,Adams,F,2018-08-10,Portland,United States
11218,Olivia,Brown,F,2020-02-28,Tacoma,United States
11219,Charles,Cook,M,2020-10-29,Woodburn,United States
11220,Erica,Huang,F,2020-03-14,Colma,United States
11221,Nathan,Perry,M,2020-04-07,Lakewood,United States
11222,Alexandra,Rivera,F,2020-11-01,Santa Monica,United States
11223,Hailey,Patterson,F,2020-01-29,Langley,Canada
11224,Tiffany,Li,F,2018-08-07,Burien,United States
11225,Madison,Lee,F,2020-06-22,Renton,United States
11226,Sydney,Ross,F,2020-02-21,W. Linn,United States
11227,Marshall,Chavez,M,2018-08-03,Colma,United States
11228,Ashley,Jones,F,2020-10-25,El Cajon,United States
11229,Adrian,Stewart,M,2020-07-27,Redwood City,United States
11230,Amber,Turner,F,2020-07-16,Santa Monica,United States
11231,Dennis,Zhang,M,2020-02-10,Bremerton,United States
11232,Hailey,Bryant,F,2020-09-20,Everett,United States
11233,Todd,Li,M,2020-02-08,Berkeley,United States
11234,Anna,Griffin,F,2020-02-08,Long Beach,United States
11235,Angel,Stewart,M,2020-07-04,Ballard,United States
11236,Jeremy,Butler,M,2020-10-03,Bellingham,United States
11237,Clarence,Anand,M,2018-09-05,Solingen,Germany
11238,Mayra,Prasad,F,2018-01-06,Birmingham,United Kingdom
11239,Latoya,Goel,F,2018-01-19,London,United Kingdom
11240,Anne,Hernandez,F,2018-02-27,Watford,United Kingdom
11241,Lisa,Cai,F,2019-09-10,Les Ulis,France
11242,Larry,Munoz,M,2019-09-19,Versailles,France
11243,Robin,Alvarez,F,2018-02-21,Esher-Molesey,United Kingdom
11244,Alexis,Coleman,F,2018-02-12,Runcorn,United Kingdom
11245,Ricky,Vazquez,M,2018-09-26,Hamburg,Germany
11246,Latasha,Rubio,F,2018-10-03,Hamburg,Germany
11247,Claudia,Zhou,F,2018-02-18,Lancaster,United Kingdom
11248,Tristan,Alexander,M,2020-07-14,Saint-Denis,France
11249,Cindy,Patel,F,2018-10-09,Sulzbach Taunus,Germany
11250,Shannon,Liu,F,2018-03-17,Woolston,United Kingdom
11251,Xavier,Long,M,2020-10-18,Haney,Canada
11252,Nicholas,Thompson,M,2018-08-14,Lemon Grove,United States
11253,José,Hernandez,M,2020-03-01,Victoria,Canada
11254,Johnathan,Vance,M,2020-11-23,Burien,United States
11255,Colin,Lin,M,2020-02-23,Burien,United States
11256,Katelyn,Hernandez,F,2020-04-15,Lynnwood,United States
11257,Jacqueline,Powell,F,2018-08-24,Newport Beach,United States
11258,Xavier,Hill,M,2020-05-21,Palo Alto,United States
11259,Victoria,Stewart,F,2018-09-04,Salem,United States
11260,Katelyn,Kelly,F,2020-02-05,Burlingame,United States
11261,Stephanie,Collins,F,2018-09-27,San Diego,United States
11262,Jennifer,Simmons,F,2020-02-27,Port Hammond,Canada
11263,Trinity,Richardson,F,2018-08-29,Burien,United States
11264,Eduardo,Martin,M,2020-01-02,Issaquah,United States
11265,Elizabeth,Jones,F,2020-01-03,Kirkland,United States
11266,Taylor,Howard,F,2018-09-10,Port Orchard,United States
11267,David,Diaz,M,2018-09-17,Burlingame,United States
11268,Katelyn,Carter,F,2020-05-29,Coronado,United States
11269,Ryan,Foster,M,2020-08-22,Daly City,United States
11270,Robert,Lee,M,2018-09-10,Lakewood,United States
11271,Danielle,Reed,F,2018-09-27,San Francisco,United States
11272,Lauren,Martinez,F,2018-09-19,Beverly Hills,United States
11273,Nathan,Lal,M,2020-05-14,La Jolla,United States
11274,Kyle,Foster,M,2018-08-29,Bellingham,United States
11275,Jenny,Rai,F,2018-08-30,Colma,United States
11276,Nancy,Chapman,F,2020-01-29,Cliffside,Canada
11277,Charles,Jackson,M,2020-02-02,Royal Oak,Canada
11278,Jonathan,Phillips,M,2018-09-16,Edmonds,United States
11279,Amanda,Cook,F,2020-03-03,Everett,United States
11280,Robert,Collins,M,2020-07-01,Lynnwood,United States
11281,Megan,Barnes,F,2018-09-13,Burbank,United States
11282,Christian,Thomas,M,2018-08-31,Burien,United States
11283,Arturo,Lal,M,2020-05-29,Berkeley,United States
11284,Theresa,Serrano,F,2020-02-06,Chula Vista,United States
11285,Jeremy,Anderson,M,2020-07-27,Fremont,United States
11286,Hunter,Griffin,M,2018-09-21,Torrance,United States
11287,Henry,Garcia,M,2020-01-29,Cliffside,Canada
11288,Cindy,Sanchez,F,2020-03-05,Burbank,United States
11289,Maria,Carter,F,2018-09-08,Downey,United States
11290,Katelyn,Sanchez,F,2018-09-20,Lakewood,United States
11291,Jenna,Wright,F,2018-09-04,Lemon Grove,United States
11292,Seth,Phillips,M,2018-09-15,San Gabriel,United States
11293,Luke,Long,M,2020-02-24,Port Orchard,United States
11294,Dalton,Clark,M,2020-09-25,Issaquah,United States
11295,Taylor,Lewis,F,2018-09-25,Concord,United States
11296,Haley,Richardson,F,2018-09-01,Everett,United States
11297,Noah,Coleman,M,2018-09-26,Burbank,United States
11298,Jon,Luo,M,2018-09-12,Chula Vista,United States
11299,Orlando,Vazquez,M,2018-09-26,Burbank,United States
11300,Fernando,Barnes,M,2020-01-31,N. Vancouver,Canada
11301,Cameron,Rodriguez,M,2020-06-09,Ballard,United States
11302,Spencer,Russell,M,2018-09-06,Corvallis,United States
11303,Julia,Coleman,F,2018-09-02,Edmonds,United States
11304,Julia,Garcia,F,2020-03-20,Portland,United States
11305,Sean,Evans,M,2020-03-25,Chula Vista,United States
11306,Micah,Zhou,M,2020-06-30,Coronado,United States
11307,Hunter,Rodriguez,M,2018-09-04,Daly City,United States
11308,Ian,Gonzales,M,2020-09-07,Oregon City,United States
11309,Victoria,Lewis,F,2020-07-09,Beaverton,United States
11310,Erin,Sanders,F,2020-08-12,San Francisco,United States
11311,Gabrielle,Lopez,F,2020-04-18,Lynnwood,United States
11312,Sara,Richardson,F,2020-05-17,Lynnwood,United States
11313,Trevor,Jenkins,M,2020-05-07,Port Orchard,United States
11314,Mya,Flores,F,2020-02-25,Issaquah,United States
11315,Hailey,Ward,F,2020-05-20,Port Orchard,United States
11316,Luke,Allen,M,2020-01-12,Langford,Canada
11317,Victoria,Russell,F,2018-09-01,Salem,United States
11318,Jessica,Wilson,F,2020-10-17,Edmonds,United States
11319,Jade,Bailey,F,2018-09-09,Oakland,United States
11320,Morgan,Hill,F,2020-06-15,Glendale,United States
11321,Terrance,Raman,M,2020-02-23,Burien,United States
11322,Sydney,Garcia,F,2020-03-24,Bremerton,United States
11323,Jose,Patterson,M,2018-09-10,Daly City,United States
11324,Zachary,Anderson,M,2018-09-26,Glendale,United States
11325,Elijah,Ross,M,2018-09-19,Seattle,United States
11326,Rafael,Xie,M,2018-09-15,Beverly Hills,United States
11327,Jaime,Moreno,M,2018-09-26,Burbank,United States
11328,Julian,Griffin,M,2020-01-05,Newton,Canada
11329,Andy,Alvarez,M,2018-09-25,Concord,United States
11330,Ryan,Thompson,M,2020-02-12,Oak Bay,Canada
11331,Samantha,Jenkins,F,2020-02-07,Shawnee,Canada
11332,Deanna,Ramos,F,2018-10-15,Berlin,Germany
11333,Emily,Miller,F,2018-03-21,Newcastle upon Tyne,United Kingdom
11334,Nicole,Brown,F,2018-03-04,Stoke-on-Trent,United Kingdom
11335,Carla,Raman,F,2018-10-23,Hof,Germany
11336,Shaun,Raji,M,2019-09-27,Paris,France
11337,Jerome,Romero,M,2018-03-09,Watford,United Kingdom
11338,Frank,Navarro,M,2018-10-11,Bonn,Germany
11339,Dennis,She,M,2019-10-07,Paris,France
11340,Melody,Munoz,F,2019-10-27,Paris,France
11341,Randy,Zeng,M,2018-04-11,Cheltenham,United Kingdom
11342,Marshall,Wang,M,2020-07-12,Boulogne-sur-Mer,France
11343,Arthur,Carlson,M,2018-04-04,Oxon,United Kingdom
11344,Jessie,Jimenez,F,2018-05-13,Oxford,United Kingdom
11345,Robin,Ramos,F,2019-10-22,Tremblay-en-France,France
11346,Deanna,Gutierrez,F,2019-10-01,Paris,France
11347,Roy,Navarro,M,2020-03-16,Braunschweig,Germany
11348,Shawn,Rai,M,2020-03-31,Paderborn,Germany
11349,Mindy,Luo,F,2021-01-13,München,Germany
11350,Cara,Zhou,F,2020-02-05,Peterborough,United Kingdom
11351,Anne,Ramos,F,2018-06-12,London,United Kingdom
11352,Raymond,Rodriguez,M,2020-05-01,Pantin,France
11353,Carrie,Ortega,F,2018-06-12,Warrington,United Kingdom
11354,Deanna,Suarez,F,2020-12-03,Grevenbroich,Germany
11355,Roberto,Gutierrez,M,2020-09-26,Wokingham,United Kingdom
11356,Terrence,Carson,M,2018-05-10,Lavender Bay,Australia
11357,Ramon,Ye,M,2018-06-18,Caloundra,Australia
11358,Cynthia,Malhotra,F,2018-06-28,Coffs Harbour,Australia
11359,Jarrod,Prasad,M,2018-06-13,Malabar,Australia
11360,Tyrone,Serrano,M,2018-06-27,Rockhampton,Australia
11361,Cindy,Ramos,F,2020-10-01,Newcastle,Australia
11362,Damien,Shan,M,2020-03-29,Cranbourne,Australia
11363,Julian,Ross,M,2018-06-08,Melbourne,Australia
11364,Jennifer,Collins,F,2018-06-07,Geelong,Australia
11365,Brittney,Sun,F,2018-05-31,Findon,Australia
11366,Virginia,Patel,F,2020-06-24,Seaford,Australia
11367,Calvin,Nara,M,2020-07-07,North Sydney,Australia
11368,Edward,Miller,M,2018-06-24,Rockhampton,Australia
11369,Ashlee,Tang,F,2020-07-05,Findon,Australia
11370,Alicia,Xu,F,2020-07-13,South Melbourne,Australia
11371,Lacey,Jai,F,2020-11-07,Rockhampton,Australia
11372,Wendy,Romero,F,2018-06-07,Brisbane,Australia
11373,Carly,Luo,F,2020-08-27,Salzgitter,Germany
11374,Jimmy,Ortega,M,2020-04-15,Werne,Germany
11375,Francisco,Martinez,M,2020-10-17,High Wycombe,United Kingdom
11376,Lance,Vazquez,M,2020-10-15,Liverpool,United Kingdom
11377,David,Robinett,M,2020-02-28,Solingen,Germany
11378,Shannon,Liang,F,2019-10-17,Metz,France
11379,Gary,Vazquez,M,2019-10-02,Boulogne-Billancourt,France
11380,Mitchell,Kumar,M,2018-10-11,Saarlouis,Germany
11381,Meredith,Raman,F,2018-06-12,London,United Kingdom
11382,Edward,Patterson,M,2019-11-03,Roubaix,France
11383,Marie,Gill,F,2021-01-01,Roissy en Brie,France
11384,Tiffany,Wang,F,2020-08-02,Les Ulis,France
11385,Miguel,Allen,M,2020-07-06,York,United Kingdom
11386,Jaclyn,Cai,F,2020-11-02,Darmstadt,Germany
11387,Megan,Ramirez,F,2018-07-26,Gateshead,United Kingdom
11388,Joseph,Martin,M,2018-07-03,York,United Kingdom
11389,Karl,Shan,M,2020-11-17,Duesseldorf,Germany
11390,Christine,Raji,F,2020-11-07,Saint Germain en Laye,France
11391,Lindsay,Xie,F,2020-10-26,Salzgitter,Germany
11392,Willie,Zhao,M,2020-03-29,Frankfurt,Germany
11393,Kurt,Pal,M,2020-07-16,Saint Ouen,France
11394,George,McDonald,M,2018-07-04,Milton Keynes,United Kingdom
11395,Beth,Gutierrez,F,2018-11-14,Frankfurt,Germany
11396,Ian,Lopez,M,2020-10-26,Saarlouis,Germany
11397,Latoya,Shan,F,2020-07-07,Paris,France
11398,Colin,Nath,M,2018-07-03,Newcastle upon Tyne,United Kingdom
11399,Brenda,Mehta,F,2020-04-13,Paris,France
11400,Franklin,Raji,M,2018-07-15,London,United Kingdom
11401,Linda,Navarro,F,2019-10-28,Paris,France
11402,Kelli,Cai,F,2019-11-07,Orleans,France
11403,Nancy,Schmidt,F,2019-10-28,Saint Ouen,France
11404,Megan,Taylor,F,2020-02-10,Kassel,Germany
11405,Bonnie,Goel,F,2020-03-31,Bonn,Germany
11406,Latoya,Xu,F,2019-11-04,Paris,France
11407,Mario,She,M,2020-06-23,Münster,Germany
11408,Darren,Gill,M,2020-03-05,London,United Kingdom
11409,Jacqueline,Hayes,F,2019-11-17,Saint Germain en Laye,France
11410,Maurice,Goel,M,2019-11-13,Paris,France
11411,Devin,Ross,M,2020-08-04,Ingolstadt,Germany
11412,Sydney,Bryant,F,2018-11-05,Ingolstadt,Germany
11413,Megan,Stewart,F,2018-08-10,Gateshead,United Kingdom
11414,Ian,Richardson,M,2018-08-13,Kirkby,United Kingdom
11415,Randy,She,M,2020-08-16,Darmstadt,Germany
11416,Katrina,Becker,F,2019-11-07,Croix,France
11417,Lacey,Zheng,F,2019-11-04,Pantin,France
11418,Rafael,Hu,M,2020-12-17,Paderborn,Germany
11419,Kyle,Scott,M,2020-03-12,Watford,United Kingdom
11420,Jordan,Turner,M,2019-11-01,Roubaix,France
11421,Amy,Sun,F,2018-11-03,Offenbach,Germany
11422,Dustin,Deng,M,2018-08-22,Liverpool,United Kingdom
11423,Jasmine,Stewart,F,2018-12-10,Hamburg,Germany
11424,Pamela,Garcia,F,2020-04-21,Berlin,Germany
11425,Ariana,Gray,F,2019-11-22,Metz,France
11426,Kristopher,Mehta,M,2020-04-09,Braunschweig,Germany
11427,Desiree,Dominguez,F,2018-12-20,Kiel,Germany
11428,Deanna,Perez,F,2018-12-05,Poing,Germany
11429,Marco,Lopez,M,2019-12-14,Sèvres,France
11430,Casey,Yuan,F,2020-03-19,Bottrop,Germany
11431,Bryant,Garcia,M,2018-12-21,Hof,Germany
11432,Dominique,Prasad,F,2019-12-10,Roissy en Brie,France
11433,Maurice,Shan,M,2019-12-02,Tremblay-en-France,France
11434,Andre,Lopez,M,2020-06-15,West Sussex,United Kingdom
11435,Robin,Romero,F,2021-01-04,Kiel,Germany
11436,Taylor,Cox,F,2020-05-22,Watford,United Kingdom
11437,Alfredo,Moreno,M,2020-12-19,Villeneuve-d'Ascq,France
11438,Jenny,Nara,F,2020-02-05,Werne,Germany
11439,Janet,Munoz,F,2019-11-29,Paris La Defense,France
11440,Sergio,Weber,M,2020-03-27,Lille,France
11441,Erika,Gomez,F,2021-01-08,Paris,France
11442,Joseph,Harris,M,2020-09-29,Tremblay-en-France,France
11443,Grace,Griffin,F,2018-06-07,Hobart,Australia
11444,Tina,Mehta,F,2018-06-01,Bendigo,Australia
11445,Kari,Kim,F,2018-06-06,Silverwater,Australia
11446,Bethany,Chander,F,2018-06-18,Lane Cove,Australia
11447,Jennifer,Roberts,F,2018-06-28,Hervey Bay,Australia
11448,Kyle,Patterson,M,2018-06-16,Melbourne,Australia
11449,Alvin,Hu,M,2018-06-19,Seaford,Australia
